Song Name,YouTube Link
Valentino Merlo - Hoy,https://www.youtube.com/watch?v=kSn9xf6mVWQ
"Los Ángeles Azules - Perdonarte, ¿Para Qué?",https://www.youtube.com/watch?v=beH6uqy6Xsw
Emanero - SINVERGÜENZA - con Angela Torres (feat. Angela Torres),https://www.youtube.com/watch?v=AhZvCgk1Ay4
Mesita - Una Foto (Remix) (feat. Emilia),https://www.youtube.com/watch?v=LWdAMW_4Yq0
Q' Lokura - Mil Preguntas,https://www.youtube.com/watch?v=Rk-jahAR-1U
Tiago PZK - Piel,https://www.youtube.com/watch?v=DI71FIdguUs
ECKO - Loquita (Remix),https://www.youtube.com/watch?v=evL_1UAwWcQ
Luck Ra - HOLA PERDIDA REMIX,https://www.youtube.com/watch?v=z8WnSzBe_BM
Q' Lokura - Tu Foto (En Vivo),https://www.youtube.com/watch?v=mKuJulPsWMY
El Turko - 30 GRADOS,https://www.youtube.com/watch?v=yl1yq-1kpzw
Natti Natasha - Quiéreme Menos,https://www.youtube.com/watch?v=R57RrTjRGxk
Luck Ra - HOLA PERDIDA,https://www.youtube.com/watch?v=CnuFA6PkOT8
FloyyMenor - Gata Only,https://www.youtube.com/watch?v=-r687V8yqKY
Bhavi - Bésame,https://www.youtube.com/watch?v=9hxzmqpnGb0
Salastkbron - Un Besito Más,https://www.youtube.com/watch?v=50t98Bqtsm4
Emanero - ADICTO,https://www.youtube.com/watch?v=imjsm9NMNsM
La K'onga - Te Mentiría (En Vivo),https://www.youtube.com/watch?v=lGRdhPlhbwc
Los Ángeles Azules - El Amor de Mi Vida,https://www.youtube.com/watch?v=CaSCapHZhc0
Salastkbron - Tal Para Cual,https://www.youtube.com/watch?v=1F6JJBCEpMY
Luck Ra - QUE ME FALTE TODO,https://www.youtube.com/watch?v=MAxuiSvA9hM
