Song Name,YouTube Link
Eminem - Houdini,https://www.youtube.com/watch?v=22tVWwmTie8
Sabrina Carpenter - Please Please Please,https://www.youtube.com/watch?v=iGDdbwd_6Ak
Sabrina Carpenter - Espresso,https://www.youtube.com/watch?v=eVli-tstM5E
Shaboozey - A Bar Song (Tipsy),https://www.youtube.com/watch?v=t7bQwwqW-Hc
Benson Boone - Beautiful Things,https://www.youtube.com/watch?v=Oa_RSwwpPaA
Teddy Swims - Lose Control (Live),https://www.youtube.com/watch?v=GZ3zL7kT6_c
Tommy Richman - MILLION DOLLAR BABY,https://www.youtube.com/watch?v=zG5YzRxOcsI
Post Malone - I Had Some Help (feat. Morgan Wallen),https://www.youtube.com/watch?v=4QIZE708gJ4
Kendrick Lamar - Not Like Us,https://www.youtube.com/watch?v=T6eK-2OQtew
Hozier - Too Sweet,https://www.youtube.com/watch?v=NTpbbQUBbuo
Central Cee - BAND4BAND,https://www.youtube.com/watch?v=pDddlvCfTiw
Ariana Grande - the boy is mine,https://www.youtube.com/watch?v=KwRxeZ9Ro24
Artemas - i like the way you kiss me,https://www.youtube.com/watch?v=evJ6gX1lp2o
Dasha - Austin (Boots Stop Workin'),https://www.youtube.com/watch?v=FyjnbSsZ2tc
Ariana Grande - we can't be friends (wait for your love),https://www.youtube.com/watch?v=KNtJGQkC-WI
Miley Cyrus - Flowers,https://www.youtube.com/watch?v=G7KNmW9a75Y
Eminem - Without Me,https://www.youtube.com/watch?v=YVkUvmDQ3HY
The Weeknd - Save Your Tears,https://www.youtube.com/watch?v=XXYlFuWEuKI
Taylor Swift - Fortnight (feat. Post Malone),https://www.youtube.com/watch?v=q3zqJs7JUCQ
Taylor Swift - Blank Space,https://www.youtube.com/watch?v=e-ORhEE9VVg
