Song Name,YouTube Link
Hoodcelebrityy - She's A Fan,https://www.youtube.com/watch?v=RqWyHGlrISg
THE BOX - THE BOX MEDLEY FUNK 2,https://www.youtube.com/watch?v=7DV9SZgxegA
ILLSLICK - Homies Feat. LILY,https://www.youtube.com/watch?v=r6jGK7MumF0
Felipe e Rodrigo - Gosta De Rua (Ao Vivo),https://www.youtube.com/watch?v=ZsN_0_6yEXk
Simone Mendes - Dois Tristes (Ao Vivo),https://www.youtube.com/watch?v=KPQkb2AuXSw
Thullio Milionário - Casca de Bala,https://www.youtube.com/watch?v=uSB58FixgSQ
Valesca Mayssa - Eu Sou Teu Pai (Ao Vivo),https://www.youtube.com/watch?v=kNJPalON82E
MC Ryan SP - Melhor Vibe (feat. Dallass & Rocco),https://www.youtube.com/watch?v=YPlY9bCyDaA
Manu Bahtidão - Torre Eiffel (Ao Vivo),https://www.youtube.com/watch?v=8cZC3uqRJD4
Kailane Frauches - Passa Lá em Casa Jesus,https://www.youtube.com/watch?v=Tw0O8XaN7vc
Mc IG - Sorriso no Rosto,https://www.youtube.com/watch?v=1C4I--UbMxM
DJ VICTOR - Mó Fita,https://www.youtube.com/watch?v=jiwC18kwjEA
Manu Bahtidão - Daqui pra Sempre (Live),https://www.youtube.com/watch?v=2FNiAPNK4Ig
MC Paulin da Capital - Samba de Malandro,https://www.youtube.com/watch?v=-UDWqs7TsTg
Guilherme & Benuto - Chorosa (Ao Vivo),https://www.youtube.com/watch?v=qMH3ZGDG1VQ
DJ Ws da Igrejinha - Não Vou Namorar,https://www.youtube.com/watch?v=Sq2Mw5I0kLA
UnoTime - Real,https://www.youtube.com/watch?v=H4wJiluI9b0
DJ Topo - MTG QUEM NÃO QUER SOU EU,https://www.youtube.com/watch?v=BgThysdP9lc
L7NNON - Vamo Marolar,https://www.youtube.com/watch?v=QQw_eox2sDE
Bheems Ceciroleo - Jai Bolo Krishna,https://www.youtube.com/watch?v=VyYuHYGYvyA
