Song Name,YouTube Link
Eminem - Houdini,https://www.youtube.com/watch?v=22tVWwmTie8
Shaboozey - A Bar Song (Tipsy),https://www.youtube.com/watch?v=t7bQwwqW-Hc
Sabrina Carpenter - Please Please Please,https://www.youtube.com/watch?v=iGDdbwd_6Ak
Benson Boone - Beautiful Things,https://www.youtube.com/watch?v=Oa_RSwwpPaA
Yelawolf - Legend,https://www.youtube.com/watch?v=-D9ng7aMyjY
Sabrina Carpenter - Espresso,https://www.youtube.com/watch?v=eVli-tstM5E
Post Malone - I Had Some Help (feat. Morgan Wallen),https://www.youtube.com/watch?v=4QIZE708gJ4
Kendrick Lamar - Not Like Us,https://www.youtube.com/watch?v=T6eK-2OQtew
Teddy Swims - Lose Control (Live),https://www.youtube.com/watch?v=GZ3zL7kT6_c
Karan Aujla - Winning Speech,https://www.youtube.com/watch?v=vsWxs1tuwDk
Amrinder Gill - That Girl,https://www.youtube.com/watch?v=0hKBJqedZas
Hozier - Too Sweet,https://www.youtube.com/watch?v=aezstCBHOPQ
Tommy Richman - MILLION DOLLAR BABY,https://www.youtube.com/watch?v=bUX8MDNQda4
Central Cee - BAND4BAND,https://www.youtube.com/watch?v=pDddlvCfTiw
Ariana Grande - the boy is mine,https://www.youtube.com/watch?v=KwRxeZ9Ro24
Artemas - i like the way you kiss me,https://www.youtube.com/watch?v=evJ6gX1lp2o
Karan Aujla - Goin' Off,https://www.youtube.com/watch?v=pLQw0DbubdM
Miley Cyrus - Flowers,https://www.youtube.com/watch?v=G7KNmW9a75Y
Rema - Calm Down,https://www.youtube.com/watch?v=WcIcVapfqXw
Zach Bryan - Something in the Orange,https://www.youtube.com/watch?v=lA8F9sIhGdg
