Song Name,YouTube Link
Luis Alfonso - Chismofilia,https://www.youtube.com/watch?v=PKEl-re_7tQ
Ryan Castro - EL RITMO QUE NOS UNE (feat. Selección Colombia),https://www.youtube.com/watch?v=6Y1dtxb-2lE
Luis Alfonso - Contentoso,https://www.youtube.com/watch?v=ja75uBnzHS0
Luis Alfonso - Mi Palabra Contra la de Ellos (En Vivo),https://www.youtube.com/watch?v=fg9Ve1wUBpc
Blessd - Mirame,https://www.youtube.com/watch?v=zcw8NlHljF4
Hernán Gómez - La Cantina (Remix),https://www.youtube.com/watch?v=VJ-DRbDXepE
Feid - LUNA,https://www.youtube.com/watch?v=x2oUajHp8pg
Ciro Quiñonez - REGALADA $ALES CARA (Remix) (feat. Jessi Uribe),https://www.youtube.com/watch?v=Zta4DBsSa0w
Grupo BerEn - No Sufriré por Nadie (Remix) (feat. Brayan Beren & Wilson Calderon),https://www.youtube.com/watch?v=-eazoEZWCaI
Chakal Del Sur - El Amor Y La Felicidad,https://www.youtube.com/watch?v=wJf3cBocdIo
Yas Cepeda & John Pc - La Ventanita,https://www.youtube.com/watch?v=sBjYvl5B6Uw
Feid - Brickell,https://www.youtube.com/watch?v=2p6O7EmroEs
Maluma - Según Quién,https://www.youtube.com/watch?v=69lO08ar-mI
Luis Alfonso - La Ex (En Vivo),https://www.youtube.com/watch?v=py7bf5QZvMk
YEISON JIMENEZ - Vete,https://www.youtube.com/watch?v=a11Bd5-jzGE
J Abdiel - WYA,https://www.youtube.com/watch?v=FcJpi9B4EN4
Luis Alfonso - El Precio de Tu Error (En Vivo),https://www.youtube.com/watch?v=29RynFdnJ8w
Feid - SORRY 4 THAT MUCH,https://www.youtube.com/watch?v=Q2ftMmazZCU
El Andariego - La Foto De Los Dos,https://www.youtube.com/watch?v=I5AChMIRUMY
Fresto Music - Me Hace Daño Verte,https://www.youtube.com/watch?v=Lg13W7_H3d8
