Song Name,YouTube Link
GIMS - SPIDER,https://www.youtube.com/watch?v=NLXiGXbxl6Q
Carbonne - Imagine,https://www.youtube.com/watch?v=4A6_mBW03EI
Jungeli - Petit génie (feat. Abou Debeing & Lossa),https://www.youtube.com/watch?v=Q3RR6ffTTBw
KeBlack - Boucan (feat. Franglish),https://www.youtube.com/watch?v=WQQ4pBn1gHs
Franglish - Position,https://www.youtube.com/watch?v=CxVVD_5Yk2U
Pierre Garnier - Ceux qu'on était,https://www.youtube.com/watch?v=xhG45EjK14I
Disturbed - The Sound of Silence,https://www.youtube.com/watch?v=uIBJJ3M76Mg
Soolking - Casanova,https://www.youtube.com/watch?v=6WrVXWgn094
Heuss L'Enfoiré - Mélanine (feat. Werenoi),https://www.youtube.com/watch?v=aFwlW1mummU
VEN1 - Hakayet,https://www.youtube.com/watch?v=wszBopxvprg
Gazo - MAMI WATA,https://www.youtube.com/watch?v=ihO3XFirNBs
SDM - Bolide allemand,https://www.youtube.com/watch?v=WcX37NouKxw
THEODORT - Wayeh,https://www.youtube.com/watch?v=nh6gI_hzjdw
KeBlack - Aucune attache,https://www.youtube.com/watch?v=mpqyP_hJCHA
Dadju - I love you,https://www.youtube.com/watch?v=ozthKn07Ei4
GIMS - LOCO,https://www.youtube.com/watch?v=2UPYd3IA-ds
FloyyMenor - Gata Only,https://www.youtube.com/watch?v=-r687V8yqKY
Zola - Temps en temps,https://www.youtube.com/watch?v=mxTn03nK2OQ
"Tam Sir - Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)",https://www.youtube.com/watch?v=5zaeAcjTito
Slimane - Mon Amour,https://www.youtube.com/watch?v=bal8oESDH7s
