Song Name,YouTube Link
Shreya Ghoshal - Sooseki,https://www.youtube.com/watch?v=qxbHtcfHq2s
Sreerama Chandra - Sarphira,https://www.youtube.com/watch?v=uD_ExcEenTs
Samar Singh - चुवे मोर जवानी,https://www.youtube.com/watch?v=HNWf_f7Wa54
Dharmendra Patel - Raja Ja Tara Landan,https://www.youtube.com/watch?v=8L_PR6Tkh7M
Sahithi Chaganti - Kurchi Madathapetti,https://www.youtube.com/watch?v=gh3FyLT7WVg
Kharesma Ravichandran - Achacho,https://www.youtube.com/watch?v=ijBxe70sd8M
Hariharan - श्री हनुमान चालीसा,https://www.youtube.com/watch?v=AETFvQonfV8
Jyoti Nooran - Paon Ki Jutti,https://www.youtube.com/watch?v=gkds6yVdDLI
Sanju Rathod - Gulabi Sadi,https://www.youtube.com/watch?v=B_6d3RBiEN0
Dabzee - Illuminati,https://www.youtube.com/watch?v=yH7eDWTH5iM
Khesari Lal Yadav - भउजी लेंगे लेंगे,https://www.youtube.com/watch?v=AbkAgLqEUH4
Manisha Sharma - Matak Chalungi (feat. Aman Jaji & Sapna Chaudhary),https://www.youtube.com/watch?v=rrZKWephkLc
Arijit Singh - Sajni,https://www.youtube.com/watch?v=k3g_WjLCsXM
Kalpana - Maroon Color Sadiya,https://www.youtube.com/watch?v=zmwfd8x0DrM
Mohammad Faiz - Dekhha Tenu,https://www.youtube.com/watch?v=rMfugUZD2dA
Khesari Lal Yadav - पलंग सागवान के,https://www.youtube.com/watch?v=I3bl78FeLtw
Ammy Virk - Ikk Hai Ikk Hai,https://www.youtube.com/watch?v=hLY7zJvpYjM
BABYMONSTER - LIKE THAT,https://www.youtube.com/watch?v=M8r3x4Re8-I
Shiva Choudhary - Jale 2,https://www.youtube.com/watch?v=zFvLoiq58Nk
Khushi Kakkar - बम लागतार,https://www.youtube.com/watch?v=DUEyca-loVU
