Song Name,YouTube Link
ANGGA DERMAWAN - DOLA,https://www.youtube.com/watch?v=LT3FWTO3fgc
Angga Candra - Sekecewa Itu,https://www.youtube.com/watch?v=DCb3Ekga5Q8
BABYMONSTER - LIKE THAT,https://www.youtube.com/watch?v=M8r3x4Re8-I
cignature - cignature(시그니처) – ‘풍덩’ 응원법,https://www.youtube.com/watch?v=GqJqUyIYhkE
TREASURE - KING KONG,https://www.youtube.com/watch?v=p8bLLOxPDD8
Cantika Davinca - Obati Rinduku (feat. Ageng Music),https://www.youtube.com/watch?v=4EEeDC0D4eI
Henry Moodie - drunk text,https://www.youtube.com/watch?v=OqEc_169ywY
Mahalini - Mati-Matian,https://www.youtube.com/watch?v=LAOxuo6pkdo
TWS - hey! hey!,https://www.youtube.com/watch?v=myQtGhTm8SQ
BADVILLAIN - BADVILLAIN,https://www.youtube.com/watch?v=WpFuv7Q0VBo
Kep1er - Shooting Star,https://www.youtube.com/watch?v=_LteCOrPpjw
EVERGLOW - ZOMBIE MV,https://www.youtube.com/watch?v=N6f6CVlgN8A
BABYMONSTER - SHEESH,https://www.youtube.com/watch?v=2wA_b6YHjqQ
JUDIKA - Bukan Karena Tak Cinta,https://www.youtube.com/watch?v=SQmulEZ5ulI
Dudy Oris - Aku Yang Jatuh Cinta,https://www.youtube.com/watch?v=1jcywOcs25o
ANGGA DERMAWAN - FAJA SKALI,https://www.youtube.com/watch?v=B1220S2g9rE
Denny Caknan - Langgeng Dayaning Rasa (LDR),https://www.youtube.com/watch?v=B0V0aWVGuSs
Ziell Ferdian - Kenangan,https://www.youtube.com/watch?v=E69z7KmhMX0
Happy Asmara - Kalah (Live) (feat. Hasan Toys),https://www.youtube.com/watch?v=9fRFumIr9bg
Rony Parulian - Sepenuh Hati,https://www.youtube.com/watch?v=vVdi82IkFcA
