Song Name,YouTube Link
Tony Effe - SESSO E SAMBA,https://www.youtube.com/watch?v=Cp_lIO5FBbU
Rose Villain - COME UN TUONO (feat. Guè),https://www.youtube.com/watch?v=u-cx3TN7Sho
Geolier - L'ULTIMA POESIA,https://www.youtube.com/watch?v=w5CslM4-qWA
Geolier - EL PIBE DE ORO,https://www.youtube.com/watch?v=eXNTyftGnp0
Mahmood - TUTA GOLD,https://www.youtube.com/watch?v=Pz168-XMNIk
Annalisa - Sinceramente,https://www.youtube.com/watch?v=NfEp5l0UMBE
Lazza - 100 MESSAGGI,https://www.youtube.com/watch?v=F7katA08VeA
Petit - MAMMAMÌ,https://www.youtube.com/watch?v=v_fSiTdYkPc
FloyyMenor - Gata Only,https://www.youtube.com/watch?v=-r687V8yqKY
ANNA - 30ºC,https://www.youtube.com/watch?v=CCEiubQsTkk
Geolier - SI STAT’ TU,https://www.youtube.com/watch?v=I3PnOZHn80I
Ghali - Paprika,https://www.youtube.com/watch?v=8kn6dqvJ1k8
Geolier - IO T’O GIUR’ (feat. Sfera Ebbasta),https://www.youtube.com/watch?v=rW20BOPZuHM
Angelina Mango - la noia,https://www.youtube.com/watch?v=psiytW9Or2s
ANNA - BBE,https://www.youtube.com/watch?v=S1IB4c8UFFk
"Geolier - I P’ ME, TU P’ TE",https://www.youtube.com/watch?v=qon1NJ6D3co
Tony Effe - MIU MIU,https://www.youtube.com/watch?v=hNOhP9sUdTU
Ghali - Casa Mia,https://www.youtube.com/watch?v=hdcIhDr2MG0
Tananai - STORIE BREVI,https://www.youtube.com/watch?v=DqbwHi8l06Y
Jaxomy - Pedro,https://www.youtube.com/watch?v=kKL20WFmVrw
