Song Name,YouTube Link
Creepy Nuts - Bling-Bang-Bang-Born,https://www.youtube.com/watch?v=mLW35YMzELE
Number_i - BON,https://www.youtube.com/watch?v=0kKd6fVPayU
Suisei Hoshimachi - ビビデバ,https://www.youtube.com/watch?v=8ZP5eqm4JqM
tuki. - 晩餐歌,https://www.youtube.com/watch?v=oZpYEEcvu5I
Omoinotake - 幾億光年,https://www.youtube.com/watch?v=P7bVX6fJfCg
YOASOBI - アイドル,https://www.youtube.com/watch?v=ZRtdQ81jPUQ
Mrs.GREEN APPLE - ライラック,https://www.youtube.com/watch?v=QjrkrVmC-8M
HY - 366日,https://www.youtube.com/watch?v=glsH4Mgxz-g
Satsuki - メズマライザー,https://www.youtube.com/watch?v=19y8YTbvri8
Ado - 唱,https://www.youtube.com/watch?v=pgXpM4l_MwI
Sora Tomonari - 鬼ノ宴,https://www.youtube.com/watch?v=NFzyrPK9rtM
ILLIT - Magnetic,https://www.youtube.com/watch?v=Vk5-c_v4gMU
Yoshida Yasei - オーバーライド,https://www.youtube.com/watch?v=LLjfal8jCYI
Kenshi Yonezu - さよーならまたいつか！- Sayonara,https://www.youtube.com/watch?v=-wb2PAx6aEs
Mrs.GREEN APPLE - ケセラセラ,https://www.youtube.com/watch?v=Jy-QS27q7lA
Da-iCE - I wonder,https://www.youtube.com/watch?v=RWfi_xJkuJg
Vaundy - 怪獣の花唄 (Live),https://www.youtube.com/watch?v=lYLa6zyjhSI
YOASOBI - 勇者,https://www.youtube.com/watch?v=OIBODIPC_8Y
Mrs.GREEN APPLE - Dear,https://www.youtube.com/watch?v=cNP21cprtbk
milet - hanataba,https://www.youtube.com/watch?v=_Sj2hunOGow
