Song Name,YouTube Link
Luis R Conriquez - Si No Quieres No,https://www.youtube.com/watch?v=-V-sywKOCwQ
Natanael Cano - Madonna,https://www.youtube.com/watch?v=fPyAklAUknM
Julion Alvarez y Su Norteño Banda - Regalo De Dios,https://www.youtube.com/watch?v=-RjwFR6H7_w
FloyyMenor - Gata Only,https://www.youtube.com/watch?v=-r687V8yqKY
Grupo Frontera - EL AMOR DE SU VIDA,https://www.youtube.com/watch?v=Vr1M_l-1wjc
Grupo Firme - El Beneficio De La Duda,https://www.youtube.com/watch?v=iIgsCYgo5P4
Junior H - Y LLORO,https://www.youtube.com/watch?v=a8M1Es4cI_4
Óscar Maydon - Elvira,https://www.youtube.com/watch?v=BmpU0KDNdEA
Óscar Maydon - Volver Al Futuro,https://www.youtube.com/watch?v=sa52xabMSB8
Fuerza Regida - TÚ NAME,https://www.youtube.com/watch?v=gIQatHqgNQs
Xavi - Corazón de Piedra,https://www.youtube.com/watch?v=4zLh1QI4bMA
Xavi - La Diabla,https://www.youtube.com/watch?v=HfzbN5ky5Co
Fuerza Regida - UNA CERVEZA,https://www.youtube.com/watch?v=WPnZJE3-SSM
Natanael Cano - O Me Voy O Te Vas,https://www.youtube.com/watch?v=xGI3ky4kLwE
Los Temerarios - Sé Que Te Amo,https://www.youtube.com/watch?v=5c5uRS8hczo
Luis R Conriquez - Que Se Cuide,https://www.youtube.com/watch?v=CMAD1xtrmg0
Grupo Firme - Qué Onda Perdida,https://www.youtube.com/watch?v=1WPWhghNipM
emmanuellcortess_ - Amor,https://www.youtube.com/watch?v=4i8RY4gEQhg
Yahir Saldivar - SC-9,https://www.youtube.com/watch?v=4Vu8n_2zm-Y
Victor Cibrian - Porque Te Vas,https://www.youtube.com/watch?v=L84VL-fy1XQ
