Song Name,YouTube Link
La Única Tropical - PARTIDO EN DOS,https://www.youtube.com/watch?v=Y2Vnjmb2gFs
Armonía 10 - Tomar para Olvidar (Versión con Ernesto Pimentel),https://www.youtube.com/watch?v=QoBWYGM5eh4
FloyyMenor - Gata Only,https://www.youtube.com/watch?v=-r687V8yqKY
Rauw Alejandro - Touching The Sky,https://www.youtube.com/watch?v=LTCwm9eDY-8
Rvssian - Santa,https://www.youtube.com/watch?v=9V_HpS9p4QY
Trueno - REAL GANGSTA LOVE,https://www.youtube.com/watch?v=BxU1TaJ7Jh0
Feid - LUNA,https://www.youtube.com/watch?v=x2oUajHp8pg
Corazón Serrano - No Sufriré Por Nadie (En Vivo),https://www.youtube.com/watch?v=6HbR5SBWXsA
Mesita - Una Foto (Remix) (feat. Emilia),https://www.youtube.com/watch?v=LWdAMW_4Yq0
Camilo - Una Vida Pasada,https://www.youtube.com/watch?v=lx6t1zS-bC8
Muñequita Milly - Mil Años,https://www.youtube.com/watch?v=z5Fsg7DnuVI
J Abdiel - WYA,https://www.youtube.com/watch?v=FcJpi9B4EN4
Walther Lozada y Orquesta - Mi Mundo Sin Ella,https://www.youtube.com/watch?v=6x4Gk5Fw-Js
Grupo 5 - El Telefono (En Vivo),https://www.youtube.com/watch?v=KGYk1jNCOQ4
Grupo 5 - Amor Vuelve (En Vivo),https://www.youtube.com/watch?v=Rmj-q6SfKaE
Marc Seguí - Tiroteo (Remix),https://www.youtube.com/watch?v=WLPZxsao-8Y
iZaak - BBY BOO (REMIX),https://www.youtube.com/watch?v=MKw2FQ2yKEY
Corazón Serrano - Mix De Amor y De Miel: Y Siempre / De Amor y De Miel / Tú La Tienes Que Pagar / Noches De Media Luna (En Vivo),https://www.youtube.com/watch?v=xm29Bb0Oyg0
Combinación De La Habana - ZAPATO ROTO,https://www.youtube.com/watch?v=euVTctQgBEM
Trueno - Mamichula,https://www.youtube.com/watch?v=NUteQQCMa_k
