Song Name,YouTube Link
BINI - Pantropiko,https://www.youtube.com/watch?v=Zx31bB2vMns
MAKI - Dilaw,https://www.youtube.com/watch?v=M4Rw9frcH6M
TJ Monterde - Palagi,https://www.youtube.com/watch?v=v82VtUUGFqk
"BINI - Salamin, Salamin",https://www.youtube.com/watch?v=J1Ip2sC_lss
BRX - Answer The G,https://www.youtube.com/watch?v=i1eKXGmfT4U
The Script - The Man Who Can't Be Moved,https://www.youtube.com/watch?v=gS9o1FAszdk
gins&melodies - Babaero (feat. Hev Abi),https://www.youtube.com/watch?v=vPAmIya47dQ
Orange & Lemons - Heaven Knows (This Angel Has Flown),https://www.youtube.com/watch?v=_LN54uzeQo4
LeAnn Rimes - I Need You,https://www.youtube.com/watch?v=AA_5sLaTErQ
Flow G - Burgis,https://www.youtube.com/watch?v=v_-DGRtD4_I
O SIDE MAFIA - Kunan Mong Pic,https://www.youtube.com/watch?v=wCzZZ2canQ8
Realest Cram - Wag Na,https://www.youtube.com/watch?v=RgCJ-Yjn0fM
Ben&Ben - Sa Susunod na Habang Buhay,https://www.youtube.com/watch?v=yB2J6kXxJIY
Tommy Richman - MILLION DOLLAR BABY,https://www.youtube.com/watch?v=zG5YzRxOcsI
Young Blood Neet - ILY (feat. Bugoy Na Koykoy),https://www.youtube.com/watch?v=HHj1Vj5dvgM
BINI - Karera,https://www.youtube.com/watch?v=QNV2DmBxChQ
Silent Sanctuary - 14,https://www.youtube.com/watch?v=3MFMBC2P8Oc
Cyndi Lauper - Girls Just Want to Have Fun,https://www.youtube.com/watch?v=PIb6AZdTr-A
SZA - Saturn,https://www.youtube.com/watch?v=V2G8ESoDXm8
Sabrina Carpenter - Espresso,https://www.youtube.com/watch?v=eVli-tstM5E
