Song Name,YouTube Link
MODELKI - Chyba że z Tobą,https://www.youtube.com/watch?v=oKa9tnfZwP0
Disturbed - The Sound of Silence,https://www.youtube.com/watch?v=uIBJJ3M76Mg
Jaxomy - Pedro,https://www.youtube.com/watch?v=kKL20WFmVrw
Gibbs - Drive,https://www.youtube.com/watch?v=y7FBy4eIxig
Vixen - Ne Rozumiju,https://www.youtube.com/watch?v=qBINBdl5NME
Sylwia Grzeszczak - och i ach,https://www.youtube.com/watch?v=Uho7xyVcG5c
"Kizo - Taxi (feat. BeMelo, Eddie Block & Adash)",https://www.youtube.com/watch?v=gtdjggvaqsg
Kronkel Dom - GENERACJA CUZI,https://www.youtube.com/watch?v=Piv14BlC5Mg
"Tribbs - Dzięki, że jesteś",https://www.youtube.com/watch?v=7VLShc83YE0
Skolim - Dziewczyno Piękna,https://www.youtube.com/watch?v=HRsEjGOKFm0
Smolasty - Nim Zajdzie Słońce,https://www.youtube.com/watch?v=uNVBBXa6CB8
Zeamsone - 7 DAM,https://www.youtube.com/watch?v=DjWHQEODO6Q
Guzior - STRZELAM PETEM,https://www.youtube.com/watch?v=xT5BXK-ZIDU
Daj To Głośniej - Pilnie Oddam Gruz,https://www.youtube.com/watch?v=47fOyH7Eg28
Kubi Producent - Woda Księżycowa,https://www.youtube.com/watch?v=syLU0zUREf4
Deemz - LECĘ BO CHCĘ,https://www.youtube.com/watch?v=SLsuEdXYgrE
CYRIL - Stumblin' In,https://www.youtube.com/watch?v=d5wURLqNTXE
Gibbs - Stan,https://www.youtube.com/watch?v=efQJmUr4wAM
Eminem - Houdini,https://www.youtube.com/watch?v=22tVWwmTie8
Axemo - STOP WITH IT (La La La La),https://www.youtube.com/watch?v=bOy4fM6Ai8k
