Song Name,YouTube Link
Татьяна Куртукова - Матушка,https://www.youtube.com/watch?v=AFcIXxkFxK4
Jazzdauren - Дарите женщинам цветы,https://www.youtube.com/watch?v=u45EgHyKq_U
Тото - Баяноммай (KalashnikOFF Remix),https://www.youtube.com/watch?v=HkWc1CPyAhg
Adam - Zhurek (Isko Alvarez remix),https://www.youtube.com/watch?v=N3onZdIIPh0
5УТРА - Давай сбежим (Искорки),https://www.youtube.com/watch?v=l3QdCo4Z-98
Galibri & Mavik - Взгляни на небо,https://www.youtube.com/watch?v=Sxwc6vxA4BY
ANNA ASTI - Царица,https://www.youtube.com/watch?v=d8-3ffuTTZ8
AP$ENT - Можно я с тобой,https://www.youtube.com/watch?v=DJPekxRZ7UQ
daryana - juice,https://www.youtube.com/watch?v=2TkNbTqwtCc
Xamdam Sobirov - Malohat,https://www.youtube.com/watch?v=JPYXpBS1dv4
Wallem - Харизма,https://www.youtube.com/watch?v=fsiXx2Lpu1w
Miyagi - I Got Love (feat. Rem Digga),https://www.youtube.com/watch?v=nidQCt_HEsY
Laskovyi Mai - Седая ночь,https://www.youtube.com/watch?v=CbbGV1JthRA
Enina - кончил,https://www.youtube.com/watch?v=4KGVNMbOO-o
Jakone - Дорога дальняя,https://www.youtube.com/watch?v=eIzuT2RNdnk
Суета - ВАЦОК ПОЧУВСТВУЙ,https://www.youtube.com/watch?v=H8bU3ZRyUYM
Ninter - Друзья навсегда,https://www.youtube.com/watch?v=i65xRb2GYto
Amirchik - Эта любовь,https://www.youtube.com/watch?v=m7CTD_WZFqY
MIROLYBOVA - Гуляй,https://www.youtube.com/watch?v=euACq3O_RpA
NLO - Танцы,https://www.youtube.com/watch?v=gWHfyg_kDDg
