Song Name,YouTube Link
aespa - Supernova,https://www.youtube.com/watch?v=phuiiNCxRMg
NewJeans - How Sweet,https://www.youtube.com/watch?v=Q3K0TOvTOno
QWER - T.B.H,https://www.youtube.com/watch?v=phsDrsw-tzc
aespa - Armageddon,https://www.youtube.com/watch?v=0nPniUvUBfU
IVE - 해야,https://www.youtube.com/watch?v=07EzMbVH3QE
ILLIT - Magnetic,https://www.youtube.com/watch?v=Vk5-c_v4gMU
NewJeans - Bubble Gum,https://www.youtube.com/watch?v=ft70sAYrFyY
(G)I-DLE - Fate,https://www.youtube.com/watch?v=ATK7gAaZTOM
ZICO - SPOT! (feat. JENNIE),https://www.youtube.com/watch?v=xfqBQ2XhBCg
ECLIPSE - Sudden Shower,https://www.youtube.com/watch?v=ESWcsKySnNs
IVE - Accendio,https://www.youtube.com/watch?v=QFNOMOk6cZQ
TWS - plot twist,https://www.youtube.com/watch?v=o6iWznl5ICo
Lim Young-woong - Warmth,https://www.youtube.com/watch?v=4z-u936rMSk
BABYMONSTER - SHEESH,https://www.youtube.com/watch?v=2wA_b6YHjqQ
Lee Chang Sub - Heavenly fate,https://www.youtube.com/watch?v=BXzoYQ-3ETs
Crush - 미안해 미워해 사랑해,https://www.youtube.com/watch?v=Z4qVfCi_lUI
AKMU - Hero,https://www.youtube.com/watch?v=q2lyOOawg_s
DAY6 - 한 페이지가 될 수 있게,https://www.youtube.com/watch?v=vnS_jn2uibs
TripleS - Girls Never Die,https://www.youtube.com/watch?v=2tda_TCjz8w
aespa - Drama,https://www.youtube.com/watch?v=D8VEhcPeSlc
