Song Name,YouTube Link
Saiko - BADGYAL,https://www.youtube.com/watch?v=_WHBVsQnrFc
Omar Montes - EL PANTALON (RUMBAS),https://www.youtube.com/watch?v=fVLKj1WLyZU
Fernando Moreno - Potra Salvaje (Hard Remix),https://www.youtube.com/watch?v=_f4Ntw4fvbg
Rvssian - Santa,https://www.youtube.com/watch?v=9V_HpS9p4QY
FloyyMenor - Gata Only,https://www.youtube.com/watch?v=-r687V8yqKY
Omar Montes - LA SEVILLANA (SEVILLANAS),https://www.youtube.com/watch?v=GJVtHm7VfRg
Chayanne - Bailando Bachata,https://www.youtube.com/watch?v=dsLjyLn859g
Jaxomy - Pedro,https://www.youtube.com/watch?v=kKL20WFmVrw
Enrique Iglesias - ASI ES LA VIDA,https://www.youtube.com/watch?v=XUoXE3bmDJY
Lola Indigo - 1000COSAS,https://www.youtube.com/watch?v=QdCTs5HZfhU
iZaak - BBY BOO (REMIX),https://www.youtube.com/watch?v=MKw2FQ2yKEY
Myke Towers - LA FALDA,https://www.youtube.com/watch?v=pyZtr3_dN3E
J Abdiel - WYA,https://www.youtube.com/watch?v=FcJpi9B4EN4
Gonzy - X'CLUSIVO (REMIX),https://www.youtube.com/watch?v=U_gD-3PHdAU
Morad - Lo Que Tiene,https://www.youtube.com/watch?v=AA8Bm9UEMZI
RVFV - 0 CONFIANZA,https://www.youtube.com/watch?v=PNNRQm7EnPk
Trueno - REAL GANGSTA LOVE,https://www.youtube.com/watch?v=BxU1TaJ7Jh0
Soolking - Casanova,https://www.youtube.com/watch?v=6WrVXWgn094
Ana Mena - Madrid City,https://www.youtube.com/watch?v=sh2lLZBnrfA
JC Reyes - COMUNA 3,https://www.youtube.com/watch?v=p3gJm4J7gak
