Song Name,YouTube Link
Energy - 星期五晚上,https://www.youtube.com/watch?v=btPv0-d3NbE
"邱軍 KUI - Life Goes On (TV Series ""A Wonderful Journey"" Interlude Song)",https://www.youtube.com/watch?v=MKd92DjyRP0
菲道尔 - 在加納共和國離婚,https://www.youtube.com/watch?v=wlSvIL-H1GQ
ILLIT - Magnetic,https://www.youtube.com/watch?v=Vk5-c_v4gMU
理想混蛋 Bestards - 離開的一路上,https://www.youtube.com/watch?v=3hLESh77fSg
承桓 - 不值得不适合,https://www.youtube.com/watch?v=oJobzMgGSS4
BABYMONSTER - LIKE THAT,https://www.youtube.com/watch?v=M8r3x4Re8-I
aespa - Supernova,https://www.youtube.com/watch?v=phuiiNCxRMg
ZQS - 这是你期盼的长大吗,https://www.youtube.com/watch?v=nlYskBsMbmE
王宇宙Leto - 若月亮没来（若是月亮还没来）,https://www.youtube.com/watch?v=7gbw51prf5Y
WeiBird - 如果可以 Red Scarf,https://www.youtube.com/watch?v=8MG--WuNW1Y
ASMRZ(다나카&닛몰캐쉬) - 잘자요 아가씨,https://www.youtube.com/watch?v=FoO7Pmx0bE4
BABYMONSTER - SHEESH,https://www.youtube.com/watch?v=2wA_b6YHjqQ
NewJeans - How Sweet,https://www.youtube.com/watch?v=Q3K0TOvTOno
承桓 - 我会等,https://www.youtube.com/watch?v=wukVNyIrtMc
(G)I-DLE - 퀸카,https://www.youtube.com/watch?v=7HDeem-JaSY
(G)I-DLE - Fate,https://www.youtube.com/watch?v=ATK7gAaZTOM
Jay Chou - 擱淺,https://www.youtube.com/watch?v=YJfHuATJYsQ
Lang So Luyen - 做自己的光，不需要太亮,https://www.youtube.com/watch?v=09lQ0Zf2XiQ
aespa - Armageddon,https://www.youtube.com/watch?v=0nPniUvUBfU
