Song Name,YouTube Link
เบนซ์ ปรีชา - สีแชทบ่คือเก่า,https://www.youtube.com/watch?v=DKfuztHjhmo
บุ๊ค ศุภกาญจน์ - สวยขยี้ใจ,https://www.youtube.com/watch?v=0IDPWR62x5s
PUN - DAY ONE,https://www.youtube.com/watch?v=MFtfIpt7DfY
Jeff Satur - Ghost,https://www.youtube.com/watch?v=qguo-j5PxBE
Bedroom Audio - เพลงที่เธอไม่ฟัง,https://www.youtube.com/watch?v=TntfD-GpPd4
KRK - ปาณิศา,https://www.youtube.com/watch?v=NKPDno8rcL4
Juepak - เมร่อน (feat. จ๊ะ นงผณี & GUNNER),https://www.youtube.com/watch?v=6pEq7QOaGfA
Hozier - Too Sweet,https://www.youtube.com/watch?v=aezstCBHOPQ
หนุ่ม มีซอ - อัปสราหลงฟ้า,https://www.youtube.com/watch?v=0h-Ka_V_llg
มนัสวีร์ - โลกที่แบกไว้,https://www.youtube.com/watch?v=RiZ2N3A5siI
fellow fellow - ตามใจ (Live),https://www.youtube.com/watch?v=Q-Wn9NgiLrI
มนัสวีร์ - ความรู้สึกของตัวฉัน,https://www.youtube.com/watch?v=hSh7ajGw5yo
BABYMONSTER - LIKE THAT,https://www.youtube.com/watch?v=M8r3x4Re8-I
โต๋เหน่อ - ลองฟังแล,https://www.youtube.com/watch?v=4NUQYYLXFwM
KRK - เธอไม่แคร์ด้วยซ้ำ,https://www.youtube.com/watch?v=m6r4CxuK_Is
กวาง ดวงฤทัย - น้องเทสเมา เจ้าเทสดี,https://www.youtube.com/watch?v=vZ8W-qgkdWM
"40F - ตัวเปิด Feat.BOZO, JTJ",https://www.youtube.com/watch?v=NEkaXkQFGQM
เบส ขวางหวัน - ตรงที่เดิม,https://www.youtube.com/watch?v=N0xhjYPOCKI
Gavin D - ผูกพันต้องลา (feat. UrboyTJ & Poppy Chatchaya),https://www.youtube.com/watch?v=_H3ufkAEh-U
Meentra Intira - ว่าว,https://www.youtube.com/watch?v=sYyEtSj2fns
