Song Name,YouTube Link
Reynmen - Renklensin,https://www.youtube.com/watch?v=bmFaaLLF56c
Bayhan - Tiryakinim,https://www.youtube.com/watch?v=Q-3JzHIHVGU
Amo988 - Elini Ver,https://www.youtube.com/watch?v=DPFv41ieUYs
Fatih Bulut - Gör Bak,https://www.youtube.com/watch?v=0ifEkZB6J40
Lvbel C5 - Sezen Aksu,https://www.youtube.com/watch?v=dY-F8BY8UkQ
Zeynep Bastık - Lan,https://www.youtube.com/watch?v=-O22D3EV6G0
Ebru Yaşar - Yoksun,https://www.youtube.com/watch?v=NS6z1QTTnds
Emre Fel - Sana El Pençe Durmam,https://www.youtube.com/watch?v=12C-Zglg7gM
ElMusto - Dale Don Dale,https://www.youtube.com/watch?v=xEjOU731SFc
Semicenk - Tek Başıma,https://www.youtube.com/watch?v=Oa-R0LvqTpE
Lvbel C5 - nE !?,https://www.youtube.com/watch?v=pI9rRex40Lk
Ebru Yaşar - Kafamın İçi,https://www.youtube.com/watch?v=m86d1VGCXmg
Halodayı - Aman Güzel Yavaş Yürü (feat. Azer Bülbül),https://www.youtube.com/watch?v=x6WIaylMrmM
Emre Fel - Senden Güzeli Mi Var,https://www.youtube.com/watch?v=wLoWleX0BQI
Romantik Erhan - Cart Curt Yırt Onu,https://www.youtube.com/watch?v=KG5mZBs5r4Q
Mabel Matiz - Kömür,https://www.youtube.com/watch?v=xxx6LBz_c18
Semicenk - Canın Sağ Olsun,https://www.youtube.com/watch?v=KDV_-rXGy7A
AKDO - SUBMARINER,https://www.youtube.com/watch?v=wGiqpSxw1BE
Canbay & Wolker - Bertaraf,https://www.youtube.com/watch?v=kBvL8nSvymA
Amo988 - Yüreğim Ağlar,https://www.youtube.com/watch?v=rkuIsNZAssA
