Song Name,YouTube Link
Eminem - Houdini,https://www.youtube.com/watch?v=22tVWwmTie8
Sabrina Carpenter - Please Please Please,https://www.youtube.com/watch?v=cF1Na4AIecM
Central Cee - BAND4BAND,https://www.youtube.com/watch?v=C1VB1FLaeBc
Sabrina Carpenter - Espresso,https://www.youtube.com/watch?v=eVli-tstM5E
Benson Boone - Beautiful Things,https://www.youtube.com/watch?v=Oa_RSwwpPaA
Shaboozey - A Bar Song (Tipsy),https://www.youtube.com/watch?v=t7bQwwqW-Hc
Teddy Swims - Lose Control (Live),https://www.youtube.com/watch?v=GZ3zL7kT6_c
Hozier - Too Sweet,https://www.youtube.com/watch?v=aezstCBHOPQ
Artemas - i like the way you kiss me,https://www.youtube.com/watch?v=evJ6gX1lp2o
Myles Smith - Stargazing,https://www.youtube.com/watch?v=tKml80alH3Y
Dasha - Austin (Boots Stop Workin'),https://www.youtube.com/watch?v=FyjnbSsZ2tc
Noah Kahan - Stick Season,https://www.youtube.com/watch?v=JKrDdsgXuso
Kendrick Lamar - Not Like Us,https://www.youtube.com/watch?v=T6eK-2OQtew
Tommy Richman - MILLION DOLLAR BABY,https://www.youtube.com/watch?v=zG5YzRxOcsI
Ariana Grande - the boy is mine,https://www.youtube.com/watch?v=KwRxeZ9Ro24
Disturbed - The Sound of Silence,https://www.youtube.com/watch?v=uIBJJ3M76Mg
NewEra - Birds In The Sky,https://www.youtube.com/watch?v=fg7ltJmY-cs
Eminem - Without Me,https://www.youtube.com/watch?v=YVkUvmDQ3HY
Meekz - Jummah,https://www.youtube.com/watch?v=JZZN6FSt64M
Post Malone - I Had Some Help (feat. Morgan Wallen),https://www.youtube.com/watch?v=4QIZE708gJ4
