Song Name,YouTube Link
Kendrick Lamar - Not Like Us,https://www.youtube.com/watch?v=T6eK-2OQtew
Eminem - Houdini,https://www.youtube.com/watch?v=22tVWwmTie8
Sabrina Carpenter - Please Please Please,https://www.youtube.com/watch?v=cF1Na4AIecM
Tommy Richman - MILLION DOLLAR BABY,https://www.youtube.com/watch?v=zG5YzRxOcsI
Shaboozey - A Bar Song (Tipsy),https://www.youtube.com/watch?v=t7bQwwqW-Hc
Teddy Swims - Lose Control (Live),https://www.youtube.com/watch?v=GZ3zL7kT6_c
GloRilla - Wanna Be,https://www.youtube.com/watch?v=BT_83vSP1es
Benson Boone - Beautiful Things,https://www.youtube.com/watch?v=Oa_RSwwpPaA
Post Malone - I Had Some Help (feat. Morgan Wallen),https://www.youtube.com/watch?v=4QIZE708gJ4
Luis R Conriquez - Si No Quieres No,https://www.youtube.com/watch?v=-V-sywKOCwQ
Sabrina Carpenter - Espresso,https://www.youtube.com/watch?v=eVli-tstM5E
Central Cee - BAND4BAND,https://www.youtube.com/watch?v=C1VB1FLaeBc
FloyyMenor - Gata Only,https://www.youtube.com/watch?v=-r687V8yqKY
Future - Like That,https://www.youtube.com/watch?v=N9bKBAA22Go
Hozier - Too Sweet,https://www.youtube.com/watch?v=aezstCBHOPQ
Ariana Grande - the boy is mine,https://www.youtube.com/watch?v=KwRxeZ9Ro24
Sexyy Red - Get It Sexyy,https://www.youtube.com/watch?v=hUE6Haw_3zg
GloRilla - Yeah Glo!,https://www.youtube.com/watch?v=voT9hOs6FZc
SZA - Snooze,https://www.youtube.com/watch?v=LDY_XyxBu8A
Grupo Frontera - EL AMOR DE SU VIDA,https://www.youtube.com/watch?v=Vr1M_l-1wjc
