Song Name,YouTube Link
Sơn Tùng M-TP - Đừng Làm Trái Tim Anh Đau,https://www.youtube.com/watch?v=abPmZCZZrFA
Double2T - Đam Mê,https://www.youtube.com/watch?v=c19Kok7_luU
Kiều Chi - Anh Thôi Nhân Nhượng Cover,https://www.youtube.com/watch?v=NaQnFcDKFiM
Sơn Tùng M-TP - Chúng Ta Của Tương Lai,https://www.youtube.com/watch?v=zoEtcR5EW08
BABYMONSTER - LIKE THAT,https://www.youtube.com/watch?v=M8r3x4Re8-I
Jin Tuấn Nam - NHÂN SINH QUÁN - DUCK REMIX (VINAHOUSE REMIX),https://www.youtube.com/watch?v=-Gr5ElAuCng
Ngô Sỹ Ngọc - Tìm Em Câu Ví Sông Lam,https://www.youtube.com/watch?v=hD7cLb4DhGo
Sơn Tùng M-TP - Nơi Này Có Anh,https://www.youtube.com/watch?v=FN7ALfpGxiI
Tăng Duy Tân - Cắt Đôi Nỗi Sầu,https://www.youtube.com/watch?v=GpmOn4RyzZI
Lâm Tuấn - Hứa Đợi Nhưng Chẳng Tới,https://www.youtube.com/watch?v=WUnEFesLoJM
Karik - Bạn Đời,https://www.youtube.com/watch?v=h7cOOfpdEfk
Jin Tuấn Nam - Nhân Sinh Quán (MUS Remix) - Đông Thủy Ngoạn Tây Núi Cao Ta Hiểu Thấu Remix,https://www.youtube.com/watch?v=dOo_G2Ft8FQ
Sơn Tùng M-TP - Muộn Rồi Mà Sao Còn,https://www.youtube.com/watch?v=xypzmu5mMPY
Hồ Quang Hiếu   - Cô Phòng,https://www.youtube.com/watch?v=cqNIe8b2skM
Anh Tú - Khóa Ly Biệt,https://www.youtube.com/watch?v=rJabgOChWiM
Qinn Media - Vở Kịch Của Em (Đức Louis Remix),https://www.youtube.com/watch?v=bEFqWFF3XGg
TeuYungBoy - Ổ Quỷ,https://www.youtube.com/watch?v=caXS47CiDN8
RAYO - Cẩm Tú Cầu,https://www.youtube.com/watch?v=QK5tzqdukW8
Vu Cat Tuong - Từng Là,https://www.youtube.com/watch?v=i4qZmKSFYvI
BADVILLAIN - BADVILLAIN,https://www.youtube.com/watch?v=WpFuv7Q0VBo
